Nombre,Categoria
"Alas de pollo","CARNES"
"Albóndigas de carrillera de cerdo","CARNES"
"Albóndigas de pollo","CARNES"
"Albóndigas mixtas","CARNES"
"Alitas de pollo barbacoa","CARNES"
"Babilla de ternera","CARNES"
"Bistec de añojo","CARNES"
"Brocheta de pollo","CARNES"
"Brocheta de pollo yakitori","CARNES"
"Cabeza de lomo","CARNES"
"Carne picada","CARNES"
"Carrillera de cerdo","CARNES"
"Carrillera ibérica","CARNES"
"Chuleta centro congelada","CARNES"
"Chuleta de pavo al ajillo","CARNES"
"Churrasco de cerdo","CARNES"
"Churrasco de pollo","CARNES"
"Cinta de lomo cortada","CARNES"
"Cinta de lomo entera congelada","CARNES"
"Cinta de lomo entera fresca","CARNES"
"Codillos sin piel","CARNES"
"Codornices","CARNES"
"Conejo con cabeza","CARNES"
"Costilla cerdo barbacoa","CARNES"
"Costilla cerdo congelada","CARNES"
"Entrecot de ternera","CARNES"
"Estofado de cerdo","CARNES"
"Estofado de ciervo","CARNES"
"Estofado de ternera","CARNES"
"Filete de ternera","CARNES"
"Fricando ternera cortada","CARNES"
"Hamburguesa de pollo","CARNES"
"Hamburguesa de tenera","CARNES"
"Hamburguesa de vacuno 180g","CARNES"
"Hamburguesa mini pollo","CARNES"
"Hamburguesa mixtas","CARNES"
"Hamburguesas retinto 3'2kg","CARNES"
"Jamoncito de pavo","CARNES"
"Jamoncito de pollo","CARNES"
"Kebab de pollo","CARNES"
"Lagarto de cerdo duroc","CARNES"
"Manitas cerdo cortadas congeladas","CARNES"
"Medallones de carrillera","CARNES"
"Muslos deshuesados frescos sin piel","CARNES"
"Osobuco de cerdo cortado","CARNES"
"Paletilla de cordero sin hueso","CARNES"
"Patos congelados","CARNES"
"Pechuga de pavo congelada","CARNES"
"Pechuga limpia","CARNES"
"Pechuga pavo fresca","CARNES"
"Pinchos de cerdo","CARNES"
"Pinchos de pollo","CARNES"
"Pluma ibérica","CARNES"
"Pollo entero","CARNES"
"Presa paleta ibérica","CARNES"
"Rabo de toro cortado","CARNES"
"Ragut pavo al ajillo","CARNES"
"Redondo de ternera","CARNES"
"Roti de ave","CARNES"
"Salchichas crudas","CARNES"
"Salchichas frescas","CARNES"
"Secreto de cerdo duroc","CARNES"
"Solomillo de cerdo","CARNES"
"Solomillo de pollo","CARNES"
"Solomillo ibérico","CARNES"
"Trasero de pollo","CARNES"
"Adobo harinado 1x6kg","PRECOCINADOS"
"Alas de pollo adobadas","PRECOCINADOS"
"Albóndigas de choco","PRECOCINADOS"
"Albóndigas de merluza y calamar","PRECOCINADOS"
"Alcachofa rebozada","PRECOCINADOS"
"Aros de cebolla empanados","PRECOCINADOS"
"Bacalao a bras","PRECOCINADOS"
"Bacalao rebozado","PRECOCINADOS"
"Berenjenas rebozadas","PRECOCINADOS"
"Bites de gouda","PRECOCINADOS"
"Bocadito de marisco","PRECOCINADOS"
"Bocadito de queso","PRECOCINADOS"
"Bocadito de rosada","PRECOCINADOS"
"Bombas mexicanas","PRECOCINADOS"
"Boquerón en tempura","PRECOCINADOS"
"Brócoli rebozado","PRECOCINADOS"
"Buñuelos de bacalao","PRECOCINADOS"
"Buñuelos de marisco","PRECOCINADOS"
"Calabacín rebozado","PRECOCINADOS"
"Calamar relleno","PRECOCINADOS"
"Calamar romana","PRECOCINADOS"
"Capricho de calamar","PRECOCINADOS"
"Cheddar sticks","PRECOCINADOS"
"Cheese rings","PRECOCINADOS"
"Coliflor rebozada","PRECOCINADOS"
"Cordon bleu","PRECOCINADOS"
"Croquetas de arroz negro con alioli","PRECOCINADOS"
"Croquetas de atún mechado","PRECOCINADOS"
"Croquetas de bacalao","PRECOCINADOS"
"Croquetas de bacalao brandada","PRECOCINADOS"
"Croquetas de bogavante","PRECOCINADOS"
"Croquetas de cabrales y nueces","PRECOCINADOS"
"Croquetas de carabineros","PRECOCINADOS"
"Croquetas de chipirón a la tinta","PRECOCINADOS"
"Croquetas de cocido","PRECOCINADOS"
"Croquetas de espinacas","PRECOCINADOS"
"Croquetas de gambas al ajillo","PRECOCINADOS"
"Croquetas de gambón","PRECOCINADOS"
"Croquetas de jamón","PRECOCINADOS"
"Croquetas de jamón ibérico","PRECOCINADOS"
"Croquetas de marisco","PRECOCINADOS"
"Croquetas de merluza con gambas","PRECOCINADOS"
"Croquetas de pollo","PRECOCINADOS"
"Croquetas de pulpo gallega","PRECOCINADOS"
"Croquetas de rabo vacuno","PRECOCINADOS"
"Croquetas de secreto con miel","PRECOCINADOS"
"Croquetas de setas","PRECOCINADOS"
"Croquetas de tortilla","PRECOCINADOS"
"Crujiburguer de espinacas","PRECOCINADOS"
"Crujiburguer de falafel","PRECOCINADOS"
"Crujiburguer de pollo","PRECOCINADOS"
"Crujiburguer de zanahoria","PRECOCINADOS"
"Crujientes de langostino","PRECOCINADOS"
"Cuadrelli de ricota, anchoa y espinacas","PRECOCINADOS"
"Dátiles con bacon","PRECOCINADOS"
"Empanadas de atún plancha","PRECOCINADOS"
"Filete de cerdo empanado","PRECOCINADOS"
"Filete de merluza empanada","PRECOCINADOS"
"Filete de merluza rebozado","PRECOCINADOS"
"Filete ruso","PRECOCINADOS"
"Finger de mozzarella","PRECOCINADOS"
"Finger pollo crujiente","PRECOCINADOS"
"Finger pollo marinado","PRECOCINADOS"
"Flamenquín de ave","PRECOCINADOS"
"Flamenquín de york","PRECOCINADOS"
"Focaccia con cebolla","PRECOCINADOS"
"Gambas rebozadas de ajo y perejil","PRECOCINADOS"
"Gyoza de pollo","PRECOCINADOS"
"Gyoza de ternera","PRECOCINADOS"
"Hamburguesas de atún","PRECOCINADOS"
"Hamburguesas de choco","PRECOCINADOS"
"Huevo con bechamel","PRECOCINADOS"
"Lagrimitas de pollo","PRECOCINADOS"
"Mejillón relleno casero","PRECOCINADOS"
"Mini croquetas de jamón","PRECOCINADOS"
"Mini croquetas de rabo toro","PRECOCINADOS"
"Mini croquetas de setas","PRECOCINADOS"
"Mini croquetas ibérico","PRECOCINADOS"
"Mini empanadillas","PRECOCINADOS"
"Mini empanadillas de cochinillo","PRECOCINADOS"
"Mini flamenquín","PRECOCINADOS"
"Mini san jacobo","PRECOCINADOS"
"Muslito del mar","PRECOCINADOS"
"Nuggets de pescado","PRECOCINADOS"
"Nuggets de pollo","PRECOCINADOS"
"Palitos de pescado","PRECOCINADOS"
"Palomitas de pollo","PRECOCINADOS"
"Pavía de merluza","PRECOCINADOS"
"Pechuga empanada","PRECOCINADOS"
"Pechuga empanada rellena de jamón y pimiento","PRECOCINADOS"
"Peskitos de merluza","PRECOCINADOS"
"Pimiento piquillos rellenos de bacalao","PRECOCINADOS"
"Pimientos rebozados","PRECOCINADOS"
"Pollo empanado","PRECOCINADOS"
"Pollo estilo Kentucky","PRECOCINADOS"
"Rodaja merluza empanada","PRECOCINADOS"
"Tiras de choco empanada","PRECOCINADOS"
"Tortilla camarones","PRECOCINADOS"
"Tortilla de patata","PRECOCINADOS"
"Tortilla francesa","PRECOCINADOS"
"Tortilla francesa con atún","PRECOCINADOS"
"Tortilla para plancha 750g","PRECOCINADOS"
"Tortillón 800g","PRECOCINADOS"
"Tortillón con atún 800g","PRECOCINADOS"
"Tortillón con calabacín 800g","PRECOCINADOS"
"Tortillón con chorizo 800g","PRECOCINADOS"
"Tortillón con espinacas 800g","PRECOCINADOS"
"Tortillón con pimientos 800g","PRECOCINADOS"
"Tortillón de patatas con cebolla 1'5kg","PRECOCINADOS"
"Twister de langostino","PRECOCINADOS"
"Varitas de pescado","PRECOCINADOS"
"Verdura en tempura","PRECOCINADOS"
"Acelgas 15g","VERDURAS"
"Ajo verde troceado","VERDURAS"
"Ajos picados","VERDURAS"
"Alcachofas","VERDURAS"
"Algas de wakame","VERDURAS"
"Berenjena cubo","VERDURAS"
"Boletus edulis","VERDURAS"
"Brocoli","VERDURAS"
"Calabacín en dados","VERDURAS"
